<repo>/distgpt/.venv/lib/python3.14/site-packages/torch/distributed/checkpoint/utils.py:483: UserWarning: torch.distributed is disabled, unavailable or uninitialized, assuming the intent is to save in a single process.
  return func(*args, **kwargs)
<repo>/distgpt/.venv/lib/python3.14/site-packages/torch/distributed/checkpoint/utils.py:483: UserWarning: torch.distributed is disabled, unavailable or uninitialized, assuming the intent is to load in a single process.
  return func(*args, **kwargs)
<repo>/distgpt/.venv/lib/python3.14/site-packages/torch/distributed/checkpoint/utils.py:483: UserWarning: torch.distributed is disabled, unavailable or uninitialized, assuming the intent is to load in a single process.
  return func(*args, **kwargs)
<repo>/distgpt/.venv/lib/python3.14/site-packages/torch/distributed/checkpoint/utils.py:483: UserWarning: torch.distributed is disabled, unavailable or uninitialized, assuming the intent is to save in a single process.
  return func(*args, **kwargs)
[init] rank=0/1 device=cuda:0 dtype=torch.bfloat16
[mesh] dp=1 tp=1 pp=1
[model] 0.42B params
[resume] @ step 1501
step    1510 | loss 4.7846 | lr 1.75e-04 | 2866 ms | 0.01M tok/s
step    1520 | loss 4.8247 | lr 1.73e-04 | 2837 ms | 0.01M tok/s
step    1530 | loss 4.9190 | lr 1.72e-04 | 2840 ms | 0.01M tok/s
step    1540 | loss 5.1017 | lr 1.70e-04 | 2841 ms | 0.01M tok/s
step    1550 | loss 4.8352 | lr 1.69e-04 | 2841 ms | 0.01M tok/s
step    1560 | loss 4.8548 | lr 1.67e-04 | 2840 ms | 0.01M tok/s
step    1570 | loss 4.9332 | lr 1.66e-04 | 2840 ms | 0.01M tok/s
step    1580 | loss 4.7332 | lr 1.64e-04 | 2846 ms | 0.01M tok/s
step    1590 | loss 4.7453 | lr 1.63e-04 | 2904 ms | 0.01M tok/s
step    1600 | loss 4.8597 | lr 1.61e-04 | 2840 ms | 0.01M tok/s
           eval | loss 4.7303
           best val 4.7303 → out/gpt_416m_fweb_5060ti/gpt_416m_fweb_5060ti/ckpts/step_000001600
step    1610 | loss 4.8653 | lr 1.60e-04 | 4231 ms | 0.01M tok/s
step    1620 | loss 4.7730 | lr 1.58e-04 | 2839 ms | 0.01M tok/s
step    1630 | loss 4.7892 | lr 1.57e-04 | 2840 ms | 0.01M tok/s
step    1640 | loss 4.6618 | lr 1.55e-04 | 2840 ms | 0.01M tok/s
step    1650 | loss 4.7677 | lr 1.54e-04 | 2840 ms | 0.01M tok/s
step    1660 | loss 4.6386 | lr 1.52e-04 | 2839 ms | 0.01M tok/s
step    1670 | loss 4.8746 | lr 1.51e-04 | 2839 ms | 0.01M tok/s
step    1680 | loss 4.6290 | lr 1.49e-04 | 2839 ms | 0.01M tok/s
step    1690 | loss 4.5495 | lr 1.48e-04 | 2839 ms | 0.01M tok/s
step    1700 | loss 4.7542 | lr 1.46e-04 | 2839 ms | 0.01M tok/s
step    1710 | loss 4.6173 | lr 1.45e-04 | 2839 ms | 0.01M tok/s
step    1720 | loss 4.6900 | lr 1.44e-04 | 2839 ms | 0.01M tok/s
step    1730 | loss 4.7727 | lr 1.42e-04 | 2839 ms | 0.01M tok/s
step    1740 | loss 4.7315 | lr 1.41e-04 | 2839 ms | 0.01M tok/s
step    1750 | loss 4.7446 | lr 1.39e-04 | 2839 ms | 0.01M tok/s
step    1760 | loss 4.7038 | lr 1.38e-04 | 2839 ms | 0.01M tok/s
step    1770 | loss 4.6306 | lr 1.36e-04 | 2839 ms | 0.01M tok/s
step    1780 | loss 5.0603 | lr 1.35e-04 | 2839 ms | 0.01M tok/s
step    1790 | loss 4.5943 | lr 1.33e-04 | 2839 ms | 0.01M tok/s
step    1800 | loss 4.7384 | lr 1.32e-04 | 2839 ms | 0.01M tok/s
           eval | loss 4.6400
           best val 4.6400 → out/gpt_416m_fweb_5060ti/gpt_416m_fweb_5060ti/ckpts/step_000001800
step    1810 | loss 4.7471 | lr 1.30e-04 | 3830 ms | 0.01M tok/s
step    1820 | loss 4.7994 | lr 1.29e-04 | 2840 ms | 0.01M tok/s
step    1830 | loss 4.7031 | lr 1.28e-04 | 2840 ms | 0.01M tok/s
step    1840 | loss 4.6924 | lr 1.26e-04 | 2840 ms | 0.01M tok/s
step    1850 | loss 4.7440 | lr 1.25e-04 | 2839 ms | 0.01M tok/s
step    1860 | loss 4.6168 | lr 1.23e-04 | 2839 ms | 0.01M tok/s
step    1870 | loss 4.4707 | lr 1.22e-04 | 2839 ms | 0.01M tok/s
step    1880 | loss 4.6547 | lr 1.20e-04 | 2839 ms | 0.01M tok/s
step    1890 | loss 4.4736 | lr 1.19e-04 | 2839 ms | 0.01M tok/s
step    1900 | loss 4.6759 | lr 1.18e-04 | 2840 ms | 0.01M tok/s
step    1910 | loss 4.7945 | lr 1.16e-04 | 2839 ms | 0.01M tok/s
step    1920 | loss 4.4660 | lr 1.15e-04 | 2839 ms | 0.01M tok/s
step    1930 | loss 4.6602 | lr 1.14e-04 | 2839 ms | 0.01M tok/s
step    1940 | loss 4.6502 | lr 1.12e-04 | 2838 ms | 0.01M tok/s
step    1950 | loss 4.5743 | lr 1.11e-04 | 2839 ms | 0.01M tok/s
step    1960 | loss 4.5803 | lr 1.09e-04 | 2839 ms | 0.01M tok/s
step    1970 | loss 4.7358 | lr 1.08e-04 | 2839 ms | 0.01M tok/s
step    1980 | loss 4.5421 | lr 1.07e-04 | 2839 ms | 0.01M tok/s
step    1990 | loss 4.4387 | lr 1.05e-04 | 2839 ms | 0.01M tok/s
step    2000 | loss 4.7148 | lr 1.04e-04 | 2840 ms | 0.01M tok/s
[ckpt] saved → out/gpt_416m_fweb_5060ti/gpt_416m_fweb_5060ti/ckpts/step_000002000
           eval | loss 4.9660
step    2010 | loss 4.5747 | lr 1.03e-04 | 3749 ms | 0.01M tok/s
step    2020 | loss 4.7749 | lr 1.01e-04 | 2841 ms | 0.01M tok/s
step    2030 | loss 4.5166 | lr 1.00e-04 | 2841 ms | 0.01M tok/s
step    2040 | loss 4.4910 | lr 9.88e-05 | 2841 ms | 0.01M tok/s
step    2050 | loss 4.4088 | lr 9.75e-05 | 2841 ms | 0.01M tok/s
step    2060 | loss 4.3742 | lr 9.62e-05 | 2841 ms | 0.01M tok/s
step    2070 | loss 4.2400 | lr 9.49e-05 | 2841 ms | 0.01M tok/s
step    2080 | loss 4.6656 | lr 9.37e-05 | 2840 ms | 0.01M tok/s
