[init] rank=0/1 device=cuda:0 dtype=torch.float32
[mesh] dp=1 tp=1 pp=1
[model] 0.42B params
step       0 | loss 11.0219 | lr 2.00e-06 | 3320 ms | 0.01M tok/s
step       5 | loss 10.6968 | lr 1.20e-05 | 17291 ms | 0.00M tok/s
step      10 | loss 9.9175 | lr 2.20e-05 | 17632 ms | 0.00M tok/s
step      15 | loss 9.3597 | lr 3.20e-05 | 17694 ms | 0.00M tok/s
step      20 | loss 9.3301 | lr 4.20e-05 | 17723 ms | 0.00M tok/s
step      25 | loss 8.9668 | lr 5.20e-05 | 17647 ms | 0.00M tok/s
step      30 | loss 8.7864 | lr 6.20e-05 | 17741 ms | 0.00M tok/s
step      35 | loss 8.5548 | lr 7.20e-05 | 17630 ms | 0.00M tok/s
step      40 | loss 8.3240 | lr 8.20e-05 | 17616 ms | 0.00M tok/s
step      45 | loss 8.0691 | lr 9.20e-05 | 17643 ms | 0.00M tok/s
step      50 | loss 7.8441 | lr 1.02e-04 | 17601 ms | 0.00M tok/s
step      55 | loss 7.7323 | lr 1.12e-04 | 17605 ms | 0.00M tok/s
step      60 | loss 7.6000 | lr 1.22e-04 | 17593 ms | 0.00M tok/s
step      65 | loss 7.5537 | lr 1.32e-04 | 17654 ms | 0.00M tok/s
step      70 | loss 7.5129 | lr 1.42e-04 | 17591 ms | 0.00M tok/s
step      75 | loss 7.6124 | lr 1.52e-04 | 17606 ms | 0.00M tok/s
step      80 | loss 7.3212 | lr 1.62e-04 | 17604 ms | 0.00M tok/s
step      85 | loss 7.3002 | lr 1.72e-04 | 17589 ms | 0.00M tok/s
step      90 | loss 7.4472 | lr 1.82e-04 | 17580 ms | 0.00M tok/s
step      95 | loss 7.2347 | lr 1.92e-04 | 17600 ms | 0.00M tok/s
step     100 | loss 7.2269 | lr 2.02e-04 | 17599 ms | 0.00M tok/s
           eval | loss 7.3227
/home/support/dev-macrohard/LLM-playground/distgpt/.venv-pascal/lib/python3.12/site-packages/torch/distributed/checkpoint/state_dict_saver.py:143: UserWarning: torch.distributed is unavailable or uninitialized, assuming the intent is to save in a single process.
  warnings.warn(
           best val 7.3227 → out/gpt_416m_fweb_p100/gpt_416m_fweb_p100/ckpts/step_000000100
step     105 | loss 7.2525 | lr 2.12e-04 | 20500 ms | 0.00M tok/s
step     110 | loss 7.1132 | lr 2.22e-04 | 17591 ms | 0.00M tok/s
step     115 | loss 7.2622 | lr 2.32e-04 | 17587 ms | 0.00M tok/s
step     120 | loss 7.0888 | lr 2.42e-04 | 17575 ms | 0.00M tok/s
step     125 | loss 7.1065 | lr 2.52e-04 | 17584 ms | 0.00M tok/s
step     130 | loss 7.0589 | lr 2.62e-04 | 17596 ms | 0.00M tok/s
step     135 | loss 6.7233 | lr 2.72e-04 | 17555 ms | 0.00M tok/s
step     140 | loss 6.8635 | lr 2.82e-04 | 17599 ms | 0.00M tok/s
step     145 | loss 6.2483 | lr 2.92e-04 | 17588 ms | 0.00M tok/s
step     150 | loss 6.7076 | lr 3.00e-04 | 17569 ms | 0.00M tok/s
step     155 | loss 6.4715 | lr 3.00e-04 | 17587 ms | 0.00M tok/s
