world_size=1  device=cuda:0  dtype=torch.bfloat16
model: 353.55M non-emb params  [liger fused-CE]
iter      0 | loss 11.0030 | lr 1.50e-06 | 424 ms | 77.4k tok/s
iter     10 | loss 9.3498 | lr 1.65e-05 | 2953 ms | 11.1k tok/s
iter     20 | loss 9.0046 | lr 3.15e-05 | 2962 ms | 11.1k tok/s
iter     30 | loss 8.5534 | lr 4.65e-05 | 2967 ms | 11.0k tok/s
iter     40 | loss 8.1943 | lr 6.15e-05 | 2968 ms | 11.0k tok/s
iter     50 | loss 7.5669 | lr 7.65e-05 | 2969 ms | 11.0k tok/s
iter     60 | loss 7.3403 | lr 9.15e-05 | 2970 ms | 11.0k tok/s
iter     70 | loss 7.1527 | lr 1.07e-04 | 2970 ms | 11.0k tok/s
iter     80 | loss 7.0925 | lr 1.21e-04 | 2970 ms | 11.0k tok/s
iter     90 | loss 7.0476 | lr 1.36e-04 | 2970 ms | 11.0k tok/s
iter    100 | loss 6.8941 | lr 1.51e-04 | 2970 ms | 11.0k tok/s
iter    110 | loss 6.8617 | lr 1.66e-04 | 2971 ms | 11.0k tok/s
iter    120 | loss 6.7811 | lr 1.81e-04 | 2971 ms | 11.0k tok/s
iter    130 | loss 6.8319 | lr 1.96e-04 | 2971 ms | 11.0k tok/s
iter    140 | loss 6.5946 | lr 2.11e-04 | 2971 ms | 11.0k tok/s
iter    150 | loss 6.6559 | lr 2.26e-04 | 2971 ms | 11.0k tok/s
iter    160 | loss 6.5407 | lr 2.41e-04 | 2971 ms | 11.0k tok/s
iter    170 | loss 6.4812 | lr 2.57e-04 | 2971 ms | 11.0k tok/s
iter    180 | loss 6.5962 | lr 2.71e-04 | 2971 ms | 11.0k tok/s
iter    190 | loss 6.4956 | lr 2.86e-04 | 2971 ms | 11.0k tok/s
iter    200 | loss 6.4457 | lr 3.00e-04 | 2971 ms | 11.0k tok/s
           eval | val 6.5016 | ppl 666.20
           best val 6.5016 → saved out/gpt2_350m_fweb_5060ti_fusedce/ckpt_best.pt
iter    210 | loss 6.4016 | lr 3.00e-04 | 3842 ms | 8.5k tok/s
iter    220 | loss 6.3849 | lr 3.00e-04 | 2971 ms | 11.0k tok/s
iter    230 | loss 6.4357 | lr 3.00e-04 | 2971 ms | 11.0k tok/s
iter    240 | loss 6.2984 | lr 3.00e-04 | 2971 ms | 11.0k tok/s
iter    250 | loss 6.3490 | lr 3.00e-04 | 2971 ms | 11.0k tok/s
iter    260 | loss 6.3033 | lr 3.00e-04 | 2971 ms | 11.0k tok/s
iter    270 | loss 6.2842 | lr 3.00e-04 | 2971 ms | 11.0k tok/s
iter    280 | loss 6.2542 | lr 3.00e-04 | 2971 ms | 11.0k tok/s
