world_size=1  device=cuda:0  dtype=torch.bfloat16
model: 353.55M non-emb params
iter      0 | loss 11.0029 | lr 1.50e-06 | 243 ms | 135.1k tok/s
iter     10 | loss 9.3502 | lr 1.65e-05 | 2189 ms | 15.0k tok/s
iter     20 | loss 9.0040 | lr 3.15e-05 | 2198 ms | 14.9k tok/s
iter     30 | loss 8.5521 | lr 4.65e-05 | 2202 ms | 14.9k tok/s
iter     40 | loss 8.1924 | lr 6.15e-05 | 2202 ms | 14.9k tok/s
iter     50 | loss 7.5646 | lr 7.65e-05 | 2202 ms | 14.9k tok/s
iter     60 | loss 7.3432 | lr 9.15e-05 | 2202 ms | 14.9k tok/s
iter     70 | loss 7.1583 | lr 1.07e-04 | 2202 ms | 14.9k tok/s
iter     80 | loss 7.1062 | lr 1.21e-04 | 2202 ms | 14.9k tok/s
iter     90 | loss 7.0448 | lr 1.36e-04 | 2202 ms | 14.9k tok/s
iter    100 | loss 6.9160 | lr 1.51e-04 | 2202 ms | 14.9k tok/s
iter    110 | loss 6.8624 | lr 1.66e-04 | 2202 ms | 14.9k tok/s
iter    120 | loss 6.7917 | lr 1.81e-04 | 2202 ms | 14.9k tok/s
iter    130 | loss 6.8443 | lr 1.96e-04 | 2202 ms | 14.9k tok/s
iter    140 | loss 6.5896 | lr 2.11e-04 | 2203 ms | 14.9k tok/s
iter    150 | loss 6.6477 | lr 2.26e-04 | 2203 ms | 14.9k tok/s
iter    160 | loss 6.5476 | lr 2.41e-04 | 2203 ms | 14.9k tok/s
iter    170 | loss 6.4903 | lr 2.57e-04 | 2203 ms | 14.9k tok/s
iter    180 | loss 6.5963 | lr 2.71e-04 | 2203 ms | 14.9k tok/s
iter    190 | loss 6.4945 | lr 2.86e-04 | 2203 ms | 14.9k tok/s
iter    200 | loss 6.4338 | lr 3.00e-04 | 2203 ms | 14.9k tok/s
           eval | val 6.4988 | ppl 664.34
           best val 6.4988 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter    210 | loss 6.4052 | lr 3.00e-04 | 2976 ms | 11.0k tok/s
iter    220 | loss 6.3998 | lr 3.00e-04 | 2205 ms | 14.9k tok/s
iter    230 | loss 6.4396 | lr 3.00e-04 | 2205 ms | 14.9k tok/s
iter    240 | loss 6.3065 | lr 3.00e-04 | 2204 ms | 14.9k tok/s
iter    250 | loss 6.3566 | lr 3.00e-04 | 2204 ms | 14.9k tok/s
iter    260 | loss 6.2915 | lr 3.00e-04 | 2204 ms | 14.9k tok/s
iter    270 | loss 6.2820 | lr 3.00e-04 | 2203 ms | 14.9k tok/s
iter    280 | loss 6.2586 | lr 3.00e-04 | 2203 ms | 14.9k tok/s
iter    290 | loss 6.2826 | lr 3.00e-04 | 2203 ms | 14.9k tok/s
iter    300 | loss 6.2279 | lr 3.00e-04 | 2204 ms | 14.9k tok/s
