model: 25.73M params (25.70M non-emb)
iter      0 | loss 4.2461 | lr 2.50e-06 | 30.4 ms/it | 1078.4k tok/s
iter     20 | loss 3.2991 | lr 5.25e-05 | 345.0 ms/it | 95.0k tok/s
iter     40 | loss 2.8207 | lr 1.02e-04 | 345.5 ms/it | 94.9k tok/s
iter     60 | loss 2.5319 | lr 1.52e-04 | 345.7 ms/it | 94.8k tok/s
iter     80 | loss 2.3698 | lr 2.03e-04 | 345.7 ms/it | 94.8k tok/s
iter    100 | loss 2.1803 | lr 2.53e-04 | 346.3 ms/it | 94.6k tok/s
iter    120 | loss 1.9368 | lr 3.02e-04 | 346.4 ms/it | 94.6k tok/s
iter    140 | loss 1.7070 | lr 3.53e-04 | 346.6 ms/it | 94.5k tok/s
iter    160 | loss 1.5680 | lr 4.03e-04 | 346.7 ms/it | 94.5k tok/s
iter    180 | loss 1.4932 | lr 4.52e-04 | 346.8 ms/it | 94.5k tok/s
iter    200 | loss 1.4432 | lr 5.00e-04 | 347.0 ms/it | 94.4k tok/s
iter    220 | loss 1.3588 | lr 5.00e-04 | 347.2 ms/it | 94.4k tok/s
iter    240 | loss 1.3214 | lr 5.00e-04 | 347.3 ms/it | 94.4k tok/s
iter    260 | loss 1.2756 | lr 5.00e-04 | 347.3 ms/it | 94.4k tok/s
iter    280 | loss 1.2401 | lr 5.00e-04 | 347.3 ms/it | 94.3k tok/s
iter    300 | loss 1.2163 | lr 5.00e-04 | 347.4 ms/it | 94.3k tok/s
iter    320 | loss 1.1582 | lr 5.00e-04 | 347.4 ms/it | 94.3k tok/s
iter    340 | loss 1.1384 | lr 5.00e-04 | 347.5 ms/it | 94.3k tok/s
iter    360 | loss 1.0353 | lr 5.00e-04 | 347.5 ms/it | 94.3k tok/s
iter    380 | loss 1.0339 | lr 5.00e-04 | 347.6 ms/it | 94.3k tok/s
iter    400 | loss 0.9456 | lr 5.00e-04 | 347.7 ms/it | 94.2k tok/s
iter    420 | loss 0.9337 | lr 5.00e-04 | 347.6 ms/it | 94.3k tok/s
iter    440 | loss 0.8265 | lr 5.00e-04 | 347.5 ms/it | 94.3k tok/s
iter    460 | loss 0.7908 | lr 5.00e-04 | 347.5 ms/it | 94.3k tok/s
iter    480 | loss 0.7103 | lr 5.00e-04 | 347.5 ms/it | 94.3k tok/s
iter    500 | loss 0.6852 | lr 5.00e-04 | 347.7 ms/it | 94.3k tok/s
           eval | train 0.6532 | val 1.8631
           best val 1.8631 → saved out/small/ckpt_best.pt
iter    520 | loss 0.5601 | lr 4.99e-04 | 908.0 ms/it | 36.1k tok/s
iter    540 | loss 0.5377 | lr 4.99e-04 | 347.7 ms/it | 94.2k tok/s
iter    560 | loss 0.4741 | lr 4.99e-04 | 347.8 ms/it | 94.2k tok/s
iter    580 | loss 0.5232 | lr 4.99e-04 | 347.7 ms/it | 94.2k tok/s
iter    600 | loss 0.3900 | lr 4.99e-04 | 347.8 ms/it | 94.2k tok/s
iter    620 | loss 0.3840 | lr 4.99e-04 | 347.7 ms/it | 94.2k tok/s
iter    640 | loss 0.3113 | lr 4.99e-04 | 347.7 ms/it | 94.3k tok/s
iter    660 | loss 0.2870 | lr 4.99e-04 | 347.6 ms/it | 94.3k tok/s
iter    680 | loss 0.2581 | lr 4.99e-04 | 347.6 ms/it | 94.3k tok/s
iter    700 | loss 0.3036 | lr 4.99e-04 | 347.6 ms/it | 94.3k tok/s
iter    720 | loss 0.2490 | lr 4.99e-04 | 347.6 ms/it | 94.3k tok/s
iter    740 | loss 0.2476 | lr 4.99e-04 | 347.5 ms/it | 94.3k tok/s
iter    760 | loss 0.2090 | lr 4.98e-04 | 347.6 ms/it | 94.3k tok/s
iter    780 | loss 0.2038 | lr 4.98e-04 | 347.6 ms/it | 94.3k tok/s
iter    800 | loss 0.2033 | lr 4.98e-04 | 347.7 ms/it | 94.3k tok/s
iter    820 | loss 0.2046 | lr 4.98e-04 | 347.7 ms/it | 94.2k tok/s
iter    840 | loss 0.1823 | lr 4.98e-04 | 347.7 ms/it | 94.2k tok/s
iter    860 | loss 0.1786 | lr 4.98e-04 | 347.7 ms/it | 94.2k tok/s
iter    880 | loss 0.1768 | lr 4.98e-04 | 347.7 ms/it | 94.2k tok/s
iter    900 | loss 0.1496 | lr 4.98e-04 | 347.7 ms/it | 94.2k tok/s
iter    920 | loss 0.1684 | lr 4.97e-04 | 347.7 ms/it | 94.2k tok/s
iter    940 | loss 0.1575 | lr 4.97e-04 | 347.7 ms/it | 94.2k tok/s
iter    960 | loss 0.1558 | lr 4.97e-04 | 347.7 ms/it | 94.2k tok/s
iter    980 | loss 0.1318 | lr 4.97e-04 | 347.7 ms/it | 94.2k tok/s
iter   1000 | loss 0.1519 | lr 4.97e-04 | 347.7 ms/it | 94.2k tok/s
           eval | train 0.1408 | val 3.0681
iter   1020 | loss 0.1444 | lr 4.97e-04 | 898.4 ms/it | 36.5k tok/s
iter   1040 | loss 0.1366 | lr 4.96e-04 | 347.8 ms/it | 94.2k tok/s
iter   1060 | loss 0.1420 | lr 4.96e-04 | 347.8 ms/it | 94.2k tok/s
iter   1080 | loss 0.1289 | lr 4.96e-04 | 347.8 ms/it | 94.2k tok/s
iter   1100 | loss 0.1351 | lr 4.96e-04 | 347.8 ms/it | 94.2k tok/s
iter   1120 | loss 0.1218 | lr 4.96e-04 | 347.8 ms/it | 94.2k tok/s
iter   1140 | loss 0.1284 | lr 4.96e-04 | 347.8 ms/it | 94.2k tok/s
iter   1160 | loss 0.1291 | lr 4.95e-04 | 347.7 ms/it | 94.2k tok/s
iter   1180 | loss 0.1249 | lr 4.95e-04 | 347.7 ms/it | 94.3k tok/s
iter   1200 | loss 0.1258 | lr 4.95e-04 | 347.7 ms/it | 94.3k tok/s
iter   1220 | loss 0.1092 | lr 4.95e-04 | 347.6 ms/it | 94.3k tok/s
iter   1240 | loss 0.1084 | lr 4.95e-04 | 347.7 ms/it | 94.2k tok/s
iter   1260 | loss 0.1161 | lr 4.94e-04 | 347.7 ms/it | 94.2k tok/s
iter   1280 | loss 0.1144 | lr 4.94e-04 | 347.7 ms/it | 94.2k tok/s
iter   1300 | loss 0.1119 | lr 4.94e-04 | 347.7 ms/it | 94.2k tok/s
iter   1320 | loss 0.0996 | lr 4.94e-04 | 347.7 ms/it | 94.2k tok/s
iter   1340 | loss 0.1108 | lr 4.93e-04 | 347.7 ms/it | 94.2k tok/s
iter   1360 | loss 0.1065 | lr 4.93e-04 | 347.7 ms/it | 94.2k tok/s
iter   1380 | loss 0.1032 | lr 4.93e-04 | 347.7 ms/it | 94.2k tok/s
iter   1400 | loss 0.1066 | lr 4.93e-04 | 347.8 ms/it | 94.2k tok/s
iter   1420 | loss 0.0999 | lr 4.92e-04 | 347.8 ms/it | 94.2k tok/s
iter   1440 | loss 0.1063 | lr 4.92e-04 | 347.8 ms/it | 94.2k tok/s
iter   1460 | loss 0.1062 | lr 4.92e-04 | 347.8 ms/it | 94.2k tok/s
iter   1480 | loss 0.1120 | lr 4.92e-04 | 347.7 ms/it | 94.2k tok/s
iter   1500 | loss 0.1098 | lr 4.91e-04 | 347.7 ms/it | 94.2k tok/s
           eval | train 0.1013 | val 3.4008
iter   1520 | loss 0.1001 | lr 4.91e-04 | 897.8 ms/it | 36.5k tok/s
iter   1540 | loss 0.0972 | lr 4.91e-04 | 347.8 ms/it | 94.2k tok/s
iter   1560 | loss 0.1039 | lr 4.91e-04 | 347.8 ms/it | 94.2k tok/s
iter   1580 | loss 0.1013 | lr 4.90e-04 | 347.8 ms/it | 94.2k tok/s
iter   1600 | loss 0.1079 | lr 4.90e-04 | 347.9 ms/it | 94.2k tok/s
iter   1620 | loss 0.0983 | lr 4.90e-04 | 347.8 ms/it | 94.2k tok/s
iter   1640 | loss 0.1058 | lr 4.90e-04 | 347.8 ms/it | 94.2k tok/s
iter   1660 | loss 0.0961 | lr 4.89e-04 | 347.8 ms/it | 94.2k tok/s
iter   1680 | loss 0.1014 | lr 4.89e-04 | 347.9 ms/it | 94.2k tok/s
iter   1700 | loss 0.0879 | lr 4.89e-04 | 347.8 ms/it | 94.2k tok/s
iter   1720 | loss 0.0959 | lr 4.88e-04 | 347.9 ms/it | 94.2k tok/s
iter   1740 | loss 0.0973 | lr 4.88e-04 | 347.9 ms/it | 94.2k tok/s
iter   1760 | loss 0.0946 | lr 4.88e-04 | 347.8 ms/it | 94.2k tok/s
iter   1780 | loss 0.0917 | lr 4.87e-04 | 347.8 ms/it | 94.2k tok/s
iter   1800 | loss 0.0861 | lr 4.87e-04 | 347.8 ms/it | 94.2k tok/s
iter   1820 | loss 0.0899 | lr 4.87e-04 | 347.8 ms/it | 94.2k tok/s
iter   1840 | loss 0.0844 | lr 4.87e-04 | 347.9 ms/it | 94.2k tok/s
iter   1860 | loss 0.0964 | lr 4.86e-04 | 347.8 ms/it | 94.2k tok/s
iter   1880 | loss 0.0864 | lr 4.86e-04 | 347.8 ms/it | 94.2k tok/s
iter   1900 | loss 0.0791 | lr 4.86e-04 | 347.8 ms/it | 94.2k tok/s
iter   1920 | loss 0.0797 | lr 4.85e-04 | 347.9 ms/it | 94.2k tok/s
iter   1940 | loss 0.0843 | lr 4.85e-04 | 347.9 ms/it | 94.2k tok/s
iter   1960 | loss 0.0786 | lr 4.84e-04 | 347.8 ms/it | 94.2k tok/s
iter   1980 | loss 0.0885 | lr 4.84e-04 | 347.8 ms/it | 94.2k tok/s
iter   2000 | loss 0.0866 | lr 4.84e-04 | 347.7 ms/it | 94.2k tok/s
           eval | train 0.0845 | val 3.6252
           saved ckpt -> out/small/ckpt.pt
iter   2020 | loss 0.0803 | lr 4.83e-04 | 907.4 ms/it | 36.1k tok/s
iter   2040 | loss 0.0816 | lr 4.83e-04 | 347.8 ms/it | 94.2k tok/s
iter   2060 | loss 0.0807 | lr 4.83e-04 | 347.8 ms/it | 94.2k tok/s
iter   2080 | loss 0.0773 | lr 4.82e-04 | 347.8 ms/it | 94.2k tok/s
iter   2100 | loss 0.0800 | lr 4.82e-04 | 347.9 ms/it | 94.2k tok/s
iter   2120 | loss 0.0867 | lr 4.82e-04 | 348.0 ms/it | 94.2k tok/s
iter   2140 | loss 0.0802 | lr 4.81e-04 | 347.8 ms/it | 94.2k tok/s
iter   2160 | loss 0.0819 | lr 4.81e-04 | 347.7 ms/it | 94.2k tok/s
