model: 10.65M params (10.62M non-emb)
iter      0 | loss 4.1942 | lr 6.00e-06 | 33.5 ms/it | 489.5k tok/s
iter     10 | loss 3.4321 | lr 6.60e-05 | 84.6 ms/it | 193.7k tok/s
iter     20 | loss 3.2864 | lr 1.26e-04 | 84.7 ms/it | 193.5k tok/s
iter     30 | loss 2.9878 | lr 1.86e-04 | 84.8 ms/it | 193.2k tok/s
iter     40 | loss 2.6929 | lr 2.46e-04 | 84.8 ms/it | 193.2k tok/s
iter     50 | loss 2.5463 | lr 3.06e-04 | 84.8 ms/it | 193.3k tok/s
iter     60 | loss 2.4232 | lr 3.66e-04 | 84.9 ms/it | 193.1k tok/s
iter     70 | loss 2.3345 | lr 4.26e-04 | 84.9 ms/it | 193.1k tok/s
iter     80 | loss 2.2271 | lr 4.86e-04 | 84.9 ms/it | 193.0k tok/s
iter     90 | loss 2.0717 | lr 5.46e-04 | 84.9 ms/it | 193.1k tok/s
iter    100 | loss 1.9830 | lr 6.00e-04 | 84.9 ms/it | 192.9k tok/s
iter    110 | loss 1.8360 | lr 6.00e-04 | 84.9 ms/it | 192.9k tok/s
iter    120 | loss 1.7536 | lr 6.00e-04 | 84.9 ms/it | 193.0k tok/s
iter    130 | loss 1.6583 | lr 6.00e-04 | 84.9 ms/it | 193.0k tok/s
iter    140 | loss 1.5949 | lr 6.00e-04 | 84.9 ms/it | 193.0k tok/s
iter    150 | loss 1.5529 | lr 6.00e-04 | 84.9 ms/it | 192.9k tok/s
iter    160 | loss 1.5243 | lr 6.00e-04 | 84.9 ms/it | 192.9k tok/s
iter    170 | loss 1.4789 | lr 6.00e-04 | 84.9 ms/it | 193.1k tok/s
iter    180 | loss 1.4393 | lr 6.00e-04 | 84.9 ms/it | 192.9k tok/s
iter    190 | loss 1.4404 | lr 6.00e-04 | 85.0 ms/it | 192.7k tok/s
iter    200 | loss 1.3962 | lr 5.99e-04 | 85.0 ms/it | 192.7k tok/s
iter    210 | loss 1.4025 | lr 5.99e-04 | 85.0 ms/it | 192.8k tok/s
iter    220 | loss 1.3814 | lr 5.99e-04 | 85.0 ms/it | 192.8k tok/s
iter    230 | loss 1.3772 | lr 5.99e-04 | 85.0 ms/it | 192.9k tok/s
iter    240 | loss 1.3635 | lr 5.99e-04 | 85.0 ms/it | 192.7k tok/s
iter    250 | loss 1.3632 | lr 5.99e-04 | 85.0 ms/it | 192.7k tok/s
           eval | train 1.3517 | val 1.5552
           best val 1.5552 → saved out/tiny/ckpt_best.pt
iter    260 | loss 1.3165 | lr 5.99e-04 | 358.7 ms/it | 45.7k tok/s
iter    270 | loss 1.3080 | lr 5.98e-04 | 85.1 ms/it | 192.6k tok/s
iter    280 | loss 1.2534 | lr 5.98e-04 | 85.0 ms/it | 192.7k tok/s
iter    290 | loss 1.3455 | lr 5.98e-04 | 85.1 ms/it | 192.6k tok/s
iter    300 | loss 1.2786 | lr 5.98e-04 | 85.1 ms/it | 192.5k tok/s
iter    310 | loss 1.2569 | lr 5.98e-04 | 85.2 ms/it | 192.4k tok/s
iter    320 | loss 1.2820 | lr 5.97e-04 | 85.1 ms/it | 192.5k tok/s
iter    330 | loss 1.2475 | lr 5.97e-04 | 85.1 ms/it | 192.5k tok/s
iter    340 | loss 1.2265 | lr 5.97e-04 | 85.1 ms/it | 192.6k tok/s
iter    350 | loss 1.2303 | lr 5.97e-04 | 85.1 ms/it | 192.4k tok/s
iter    360 | loss 1.2410 | lr 5.96e-04 | 85.1 ms/it | 192.4k tok/s
iter    370 | loss 1.2259 | lr 5.96e-04 | 85.1 ms/it | 192.5k tok/s
iter    380 | loss 1.2197 | lr 5.96e-04 | 85.0 ms/it | 192.7k tok/s
iter    390 | loss 1.2102 | lr 5.95e-04 | 85.0 ms/it | 192.6k tok/s
