experiment	val_bpb	tok_per_s	vram_mb	params_m	tokens	gen_gap	status	description
1	2.95046	339287.1	1686.7	5.132	1998848	0.05774	keep	baseline: 6L d256, AdamW, dropout 0.1
2	2.85279	247068.5	2172.7	5.132	1998848	0.07817	keep	qk_norm on
3	2.85164	247085.9	2172.7	5.132	1998848	0.09954	keep	qk_norm + zero_init_proj
4	2.84556	247321.6	2172.7	5.132	1998848	0.09819	keep	dropout 0.1→0.05
5	2.84233	231523.0	2380.5	6.312	1998848	0.09313	keep	wider d_ffn 768→1024
6	2.89765	188279.8	2838.8	6.837	1998848	0.09233	discard	deeper 6→8 layers
7	2.83334	188318.8	2838.9	6.854	1998848	0.08424	keep	untie embeddings
8	2.78736	103007.8	4128.4	14.188	1998848	0.11532	keep	wider d_model 256→384
9	2.76976	103025.0	4128.4	14.188	1998848	0.11425	keep	lr 1e-3→8e-4 (big model)
10	2.75164	101993.6	4129.2	14.238	1998848	0.11225	keep	MTP x2 aux heads
